"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"324","Divestment","Full","Meyer Family Enterprises","Philanthropic Foundation","USA","--","http://divestinvest.org/philanthropy/signatories/#/signatories/meyer-family-enterprises"
"325","Divestment","Full","Miami Monthly Friends (Quaker) Meeting - Waynesville, OH","Faith-based Organization","USA","--","--"
"326","Divestment","Full","Miami Quarterly Friends (Quaker) Meeting of Ohio Valley, OH","Faith-based Organization","USA","--","http://www.quaker.org/ovym/index_files/MiamiQ.htm"
"327","Divestment","Full","Millamac Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"328","Divestment","Full","Mize Family Foundation","Philanthropic Foundation","USA","Seattle","http://divestinvest.org/philanthropy/#/signatories/merck-family-fund"
"329","Divestment","Coal Only","Monash University","Educational Institution","Australia","Melbourne","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"330","Divestment","Full","Montreal Quakers","Faith-based Organization","Canada","Westmount","--"
"331","Divestment","Full","Moomintroll Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"332","Divestment","Full","Morning Star Foundation","Philanthropic Foundation","USA","Spokane","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"333","Divestment","Full","Mount Alexander Shire Council","Government","Australia","Castlemaine","http://350.org.au/news/castlemaines-council-divests-from-fossil-fuels/"
"334","Divestment","Full","Mount Holly, New Jersey","Faith-based Organization","USA","Mount Holly","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"335","Divestment","Fossil Free","Mountain Vista Unitarian Universalist Congregation, AZ","Faith-based Organization","USA","Tucson","http://gofossilfree.org/commitments/"
"336","Divestment","Full","Mullum Trust","Philanthropic Foundation","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge/c1t44"
"337","Divestment","Full","Multnomah County, OR","Government","USA","Portland","http://portlandtribune.com/sl/274399-150205-city-county-join-world-fossil-fuels-divestment-movement-"
"338","Divestment","Full","Naropa University","Educational Institution","USA","Boulder","--"
"339","Divestment","Full","National Ethical Service","NGO","USA","New York","http://gofossilfree.org/commitments/"
"340","Divestment","Full","National Synod of Scotland","Faith-based Organization","UK","Glasgow","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"341","Divestment","Full","National Tertiary Education Union","Other","Australia","Southbank","http://www.nteu.org.au/article/MEDIA-RELEASE%3A-NTEU-to-divest-from-fossil-fuels-and-invest-in-renewable-energy-18091"
"342","Divestment","Full","Natural Resources Defense Council","NGO","USA","New York","--"
"343","Divestment","Full","Neranie Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"344","Divestment","Full","Nevada Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"345","Divestment","Full","New England Biolabs Foundation","Philanthropic Foundation","USA","Ipswich","http://divestinvest.org/philanthropy/signatories/#/signatories/new-england-biolabs-foundation-2"
"346","Divestment","Full","New Priorities Foundation","Philanthropic Foundation","USA","--","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"347","Divestment","Fossil Free","New Progressive Alliance","NGO","USA","--","http://www.newprogs.org/the_environment_under_the_democratic_republican_uniparty"
"348","Divestment","Full","New York Quarterly Meeting","Faith-based Organization","USA","New York","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"349","Divestment","Full","Newcastle University","Educational Institution","UK","Newcastle","http://www.theguardian.com/environment/2016/may/25/universities-of-newcastle-and-southampton-join-fossil-fuel-divestment-push"
"350","Divestment","Full","Newtown Monthly Quaker Meeting, PA","Faith-based Organization","USA","Newton","--"
"351","Divestment","Full","Nia Community Fund","Philanthropic Foundation","USA","Oakland","http://divestinvest.org/philanthropy/#/signatories/nia-community-fund"
"352","Divestment","Partial","Nisei Student Relocation Commemorative Fund","Philanthropic Foundation","USA","Portland","--"
"353","Divestment","Partial","Nordea Bank AB","For Profit Corporation","Sweden","Stockholm","http://www.bloomberg.com/news/articles/2015-05-05/nordic-funds-cut-u-s-oil-coal-investments-on-climate-concern"
"354","Divestment","Full","Norman Foundation","Philanthropic Foundation","USA","New York","--"
"355","Divestment","Full","North Star Fund","Philanthropic Foundation","USA","New York","http://divestinvest.org/philanthropy/#/signatories/north-star-fund"
"356","Divestment","Full","Northeast Wilderness Trust","NGO","USA","Montpelier","http://www.newildernesstrust.org/2015/02/19/were-divested/"
"357","Divestment","Full","Northern Yearly Meeting – Quakers in the Upper Midwest","Faith-based Organization","USA","--","http://www.northernyearlymeeting.org/article/epistle-annual-session-2015"
"358","Divestment","Full","Norway Unitarian Universalist Church Maine","Faith-based Organization","USA","Norway","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"359","Divestment","Partial","Government Pension Fund Global","Pension Fund","Norway","Oslo","http://www.theguardian.com/environment/2015/feb/05/worlds-biggest-sovereign-wealth-fund-dumps-dozens-of-coal-companies?CMP=share_btn_tw
http://www.theguardian.com/environment/2015/mar/16/norways-sovereign-wealth-fund-drops-over-50-coal-companies"
"360","Divestment","Full","Ohio Valley Yearly Meeting, Society of Friends (Quakers), OH","Faith-based Organization","USA","Cincinnati","http://www.quaker.org/ovym/index_files/News.htm"
"361","Divestment","Full","Old Haverford Monthly Meeting","Faith-based Organization","USA","Havertown","--"
"362","Divestment","Full","Orp Foundation","Philanthropic Foundation","UK","--","http://divestinvest.org/wp-content/uploads/2015/06/PRESS-RELEASE-Divest-Invest-June-Announcement.pdf"
