"","Name_of_Organisation","Type","Country","Divestment_Type","More_Info","Policy"
"142"," 'https://bucks.ac.uk/home' Buckinghamshire New University","Educational Institution","UK","Fossil Free","'https://bucks.ac.uk/news/2018/june/bucks-signs-fossil-free-declaration'",1
"143"," 'http://www.bullitt.org/' Bullitt Foundation","Philanthropic Foundation","USA","Full","",1
"144"," 'https://www.bhpurc.org.uk' Bush Hill Park United Reformed Church, Enfield","Faith-based Organization","UK","Full","'https://www.bhpurc.org.uk/content/pages/documents/1553624818.pdf'",1
"145"," 'http://www.byron.nsw.gov.au/' Byron Shire Council","Government","Australia","Full","'http://350.org.au/news/byron-bay-divests-from-fossil-fuels/'",1
"146"," 'http://ccfd-terresolidaire.org/' CCFD - Terre Solidaire","NGO","France","Fossil Free","'http://gofossilfree.org/fr/'",1
"147"," 'centrotips.gob.mx' CEDEHU - Centro de Desarrollo Humano","Faith-based Organization","Mexico","Fossil Free","",1
"148"," 'http://www.cnp.fr/en/' CNP Assurances","For Profit Corporation","France","Coal Only","'http://www.cnp.fr/Journaliste/Tous-les-communiques-de-presse/2018/CNP-Assurances-annonce-de-nouvelles-ambitions-pour-se-desengager-de-l-industrie-du-charbon'",1
"149"," 'http://www.comece.eu/' COMECE - Commission of the Bishops' Conferences of the European Union","Faith-based Organization","Belgium","Fossil Free","",1
"150"," 'https://www.cpeg.ch/' CPEG - Caisse de prévoyance de l'État de Genève","Pension Fund","Switzerland","Coal Only","'https://www.cpeg.ch/uncategorized/3-juillet-2018-les-resultats-de-letude-sur-lempreinte-carbone-sont-encourageants'",1
"151"," 'https://csaa-insurance.aaa.com/' CSAA Insurance Group","For Profit Corporation","USA","Coal Only","'https://interactive.web.insurance.ca.gov/apex_extprd/f?p=201:3::::3:P3_NAIC_YEAR:2017%20%2015539&amp;cs=1AF5A4D664D560F762C103B635B3CE9C8'",1
"152"," 'http://www.calacademy.org/' California Academy of Sciences","Cultural Institution","USA","Full","'http://www.sfgate.com/bayarea/article/S-F-s-California-Academy-of-Sciences-divests-6465485.php http://hyperallergic.com/232130/california-academy-of-sciences-will-divest-from-fossil-fuels/'",1
"153"," 'https://www.calarts.edu/' California Institute of the Arts","Educational Institution","USA","Full","'http://blog.calarts.edu/2014/12/23/calarts-moves-to-divest-from-fossil-fuels/'",1
"154"," 'https://www.calpers.ca.gov/' California Public Employees' Retirement System (CalPERS)","Pension Fund","USA","Coal Only","'http://thinkprogress.org/climate/2015/09/03/3698289/california-coal-divestment/'",1
"155"," 'https://www.statefundca.com/' California State Compensation Insurance Fund","For Profit Corporation","USA","Coal Only","'https://docs.google.com/document/d/1Zo5ot9RDoes-_t9Ey2gLIC6-vU3UNi4V4V1Rz2C0TAY/edit'",1
"156"," 'http://www.calstrs.com/' California State Teachers' Retirement System (CalSTRS)","Pension Fund","USA","Coal Only","'http://thinkprogress.org/climate/2015/09/03/3698289/california-coal-divestment/'",1
"157"," 'https://www.cambridge.gov.uk/' Cambridge City Council","Government","UK","Partial","'http://gofossilfree.org/uk/press-release/cambridge-city-council-backs-the-move-towards-a-fossil-fuel-free-future/'",1
"158"," 'https://www.cma.ca/En/' Canadian Medical Association","Healthcare Institution","Canada","Full","'http://www.theglobeandmail.com/news/national/canadian-medical-association-divesting-fossil-fuel-holdings/article26115904/'",1
"159"," 'http://cuc.ca/' Canadian Unitarian Council (national), ON","Faith-based Organization","Canada","Full","'http://cuc.ca/wp-content/uploads/2015/07/Fossil-Fuel-Divestment.pdf'",1
"160"," 'https://www.candriam.com/en/professional/' Candriam","For Profit Corporation","Luxembourg","Coal Only","'https://www.candriam.com/en/professional/market-insights/topics/sri/candriam-divests-from-coal-and-tobacco/'",1
"161"," 'https://www.canterbury.ac.uk/' Canterbury Christ Church University","Educational Institution","UK","Fossil Free","'https://peopleandplanet.org/blog/2017-08-17/fossil-fuel-divestment-state-sector'",1
